name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Pikku Ranska,,french cuisine,confidence:medium;cuisine:french;restaurant,,2025-09-30T18:24:24Z,128,,,,,OpenStreetMap
Papan Lounas & Pizza,"Sahaajankatu 31, Helsinki, FI","pizza, arab cuisine",confidence:medium;cuisine:arab;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-08-10T14:28:37Z,179,,,,,OpenStreetMap
Maya Bar & Grill,"Mikonkatu 18, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-08-31T13:29:48Z,158,,,,,OpenStreetMap
Kabuki,"Lapinlahdenkatu 12, 00180 Helsinki, FI",japanese cuisine,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant,,2025-08-20T07:32:23Z,169,,,,,OpenStreetMap
Ateljé Finne,"Arkadiankatu 14, 00100 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2026-01-28T09:47:09Z,8,,,,,OpenStreetMap
Lentävä Lautanen,"Malmin lentoaseman aukio 6, 00700 Helsinki",,confidence:medium;restaurant,,2025-09-02T11:05:57Z,156,,,,,OpenStreetMap
Subway,"Vuotie 45, 00980 Helsinki, FI",sandwich cuisine,confidence:medium;cuisine:sandwich;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2025-11-17T11:50:57Z,80,,,,,OpenStreetMap
Ravintola Fregatti,"Vuotie 45, 00980 Helsinki, FI",,confidence:medium;diet:vegan:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2026-01-07T06:06:57Z,29,,,,,OpenStreetMap
Kotipizza,"Vuotie 45, 00980 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;delivery:yes;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes,,2025-08-13T16:09:18Z,176,,,,,OpenStreetMap
Rauhankahvila Fredrika,"Veturitori 3, 00520 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-15T16:42:41Z,52,,,,,OpenStreetMap
Unicafe,"Koetilantie 7, 00790 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Unicafe,"Viikinkaari 9, 00790 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Pizza Service Itäkeskus,"Kauppakartanonkatu 5, 00930 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;fast_food,,2025-09-21T21:06:34Z,137,,,,,OpenStreetMap
King Kebab,"Mäkelänkatu 31, 00550 Helsinki","kebab, pizza, falafel cuisine",confidence:medium;cuisine:falafel;cuisine:kebab;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:no,,2025-08-17T15:14:33Z,172,,,,,OpenStreetMap
Ravintola Sophie,"Koskelantie 9, 00610 Helsinki",,confidence:medium;restaurant,,2026-01-01T18:44:09Z,35,,,,,OpenStreetMap
St1 HelmiSimpukka Helsinki Pukinmäki,"Ratavallintie 1, 00720 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-11-23T20:06:24Z,74,,,,,OpenStreetMap
Puksu Room,"Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:no;outdoor_seating:yes;restaurant,,2025-11-24T14:20:18Z,73,,,,,OpenStreetMap
Factory - Vallila,,,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant;takeaway:yes,,2025-12-13T14:05:51Z,54,,,,,OpenStreetMap
Pizzeria Online,"Pitäjänmäentie 19, 00370 Helsinki","pizza, kebab, burger, schnitzel, pasta, chicken, salad cuisine",confidence:medium;cuisine:burger;cuisine:chicken;cuisine:kebab;cuisine:pasta;cuisine:pizza;cuisine:salad;cuisine:schnitzel;delivery:yes;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes,,2026-01-25T11:41:18Z,11,,,,,OpenStreetMap
Gran Delicato,"Helsinki, FI","international, sandwich, greek cuisine",cafe;confidence:medium;cuisine:greek;cuisine:international;cuisine:sandwich;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no,,2025-09-18T17:08:41Z,140,,,,,OpenStreetMap
Savalan Pizza & Kebab,"Roihuvuorentie 28, 00820 Helsinki, FI",,confidence:medium;fast_food;outdoor_seating:yes,,2025-08-10T17:56:55Z,179,,,,,OpenStreetMap
Ravintola Lafal,"Hämeentie 6, 00530 Helsinki, FI",lebanese cuisine,confidence:medium;cuisine:lebanese;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes,,2025-08-26T07:28:54Z,163,,,,,OpenStreetMap
Pizzeria Parmesan,,pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;restaurant,,2025-10-05T08:14:06Z,123,,,,,OpenStreetMap
Mei Lin,"Annankatu 29, 00100 Helsinki, FI",chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2026-01-27T21:07:51Z,9,,,,,OpenStreetMap
White Lady,,,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-10-08T19:04:34Z,120,,,,,OpenStreetMap
Kahvio Teboil Itäväylä,"Linnavuorentie 30, 00950 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-11-22T09:38:57Z,75,,,,,OpenStreetMap
Hard Rock Cafe,"Aleksanterinkatu 21, 00100 Helsinki, FI",american cuisine,confidence:medium;cuisine:american;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-11-30T21:23:05Z,67,,,,,OpenStreetMap
Unicafe,"Mannerheimintie 3 B, 00100 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant,,2025-12-15T06:59:06Z,52,,,,,OpenStreetMap
Chef Huang,"Näyttelijäntie 14, 00400 Helsinki",chinese cuisine,confidence:medium;cuisine:chinese;delivery:no;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes,,2026-01-06T23:24:40Z,30,,,,,OpenStreetMap
Kannelmäen Pizzapalvelu,"Sitratori 3, 00420 Helsinki","pizza, kebab, stake, salad, chicken, fish, pasta, falafel, burger cuisine",confidence:medium;cuisine:burger;cuisine:chicken;cuisine:falafel;cuisine:fish;cuisine:kebab;cuisine:pasta;cuisine:pizza;cuisine:salad;cuisine:stake;delivery:yes;fast_food;takeaway:yes,,2025-10-01T20:21:49Z,127,,,,,OpenStreetMap
Ravintola Sylvi,"Käpylänkuja 1, 00610 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-08-26T04:21:33Z,163,,,,,OpenStreetMap
Factory,"Esterinportti 2, 00240 Helsinki, FI",,confidence:medium;restaurant,,2025-12-14T21:31:53Z,53,,,,,OpenStreetMap
Käpylän Pizza & Kebab Palvelu,"Käpyläntie 8, 00600 Helsinki","pizza, kebab cuisine",confidence:medium;cuisine:kebab;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes,,2025-08-25T19:55:48Z,164,,,,,OpenStreetMap
Kotipizza,"Siltavoudintie 9, 00640 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:yes;takeaway:yes,,2025-08-12T14:59:09Z,177,,,,,OpenStreetMap
Oulunkylän Kebab-Pizzeria,,,confidence:medium;restaurant,,2025-08-12T15:08:59Z,177,,,,,OpenStreetMap
Hesburger,"Kaivokatu, 00100 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2025-09-14T16:20:08Z,144,,,,,OpenStreetMap
Hesburger,"Mannerheimintie 19, 00250 Helsinki, FI",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes,,2025-10-05T06:21:05Z,123,,,,,OpenStreetMap
