confidence,decision,description,full_address,google_first_review_date,google_first_seen,google_place_id,name,opening_date,osm_first_added,osm_last_edit,osm_last_edit_age_days,quality_score,reasons,source,tags
Low,Needs more information,french cuisine,,,,,Pikku Ranska,,,2025-09-30T18:24:24Z,128,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:french;restaurant
Low,Needs editing,"pizza, arab cuisine","Sahaajankatu 31, Helsinki, FI",,,,Papan Lounas & Pizza,,,2025-08-10T14:28:37Z,179,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:arab;cuisine:pizza;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant
Low,Needs editing,,"Mikonkatu 18, 00100 Helsinki",,,,Maya Bar & Grill,,,2025-08-31T13:29:48Z,158,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,japanese cuisine,"Lapinlahdenkatu 12, 00180 Helsinki, FI",,,,Kabuki,,,2025-08-20T07:32:23Z,169,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:japanese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Arkadiankatu 14, 00100 Helsinki, FI",,,,Ateljé Finne,,,2026-01-28T09:47:09Z,8,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Malmin lentoaseman aukio 6, 00700 Helsinki",,,,Lentävä Lautanen,,,2025-09-02T11:05:57Z,156,90,missing_description,OpenStreetMap,confidence:medium;restaurant
High,Remove,sandwich cuisine,"Vuotie 45, 00980 Helsinki, FI",,,,Subway,,,2025-11-17T11:50:57Z,80,65,keyword:subway;description_too_short,OpenStreetMap,confidence:medium;cuisine:sandwich;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes
Low,Needs editing,,"Vuotie 45, 00980 Helsinki, FI",,,,Ravintola Fregatti,,,2026-01-07T06:06:57Z,29,90,missing_description,OpenStreetMap,confidence:medium;diet:vegan:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant
Low,Needs editing,pizza cuisine,"Vuotie 45, 00980 Helsinki, FI",,,,Kotipizza,,,2025-08-13T16:09:18Z,176,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;delivery:yes;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes
Low,Needs editing,,"Veturitori 3, 00520 Helsinki, FI",,,,Rauhankahvila Fredrika,,,2025-12-15T16:42:41Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Koetilantie 7, 00790 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Viikinkaari 9, 00790 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Kauppakartanonkatu 5, 00930 Helsinki",,,,Pizza Service Itäkeskus,,,2025-09-21T21:06:34Z,137,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;fast_food
Low,Needs editing,"kebab, pizza, falafel cuisine","Mäkelänkatu 31, 00550 Helsinki",,,,King Kebab,,,2025-08-17T15:14:33Z,172,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:falafel;cuisine:kebab;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:no
Low,Needs editing,,"Koskelantie 9, 00610 Helsinki",,,,Ravintola Sophie,,,2026-01-01T18:44:09Z,35,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,,"Ratavallintie 1, 00720 Helsinki",,,,St1 HelmiSimpukka Helsinki Pukinmäki,,,2025-11-23T20:06:24Z,74,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no;restaurant
Low,Needs editing,,"Helsinki, FI",,,,Puksu Room,,,2025-11-24T14:20:18Z,73,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:no;outdoor_seating:yes;restaurant
Low,Needs more information,,,,,,Factory - Vallila,,,2025-12-13T14:05:51Z,54,75,missing_address;missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant;takeaway:yes
Medium,Keep,"pizza, kebab, burger, schnitzel, pasta, chicken, salad cuisine","Pitäjänmäentie 19, 00370 Helsinki",,,,Pizzeria Online,,,2026-01-25T11:41:18Z,11,100,,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:chicken;cuisine:kebab;cuisine:pasta;cuisine:pizza;cuisine:salad;cuisine:schnitzel;delivery:yes;diet:halal:no;diet:kosher:no;fast_food;takeaway:yes
Low,Needs editing,"international, sandwich, greek cuisine","Helsinki, FI",,,,Gran Delicato,,,2025-09-18T17:08:41Z,140,90,description_too_short,OpenStreetMap,cafe;confidence:medium;cuisine:greek;cuisine:international;cuisine:sandwich;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:no
Low,Needs editing,,"Roihuvuorentie 28, 00820 Helsinki, FI",,,,Savalan Pizza & Kebab,,,2025-08-10T17:56:55Z,179,90,missing_description,OpenStreetMap,confidence:medium;fast_food;outdoor_seating:yes
Low,Needs editing,lebanese cuisine,"Hämeentie 6, 00530 Helsinki, FI",,,,Ravintola Lafal,,,2025-08-26T07:28:54Z,163,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:lebanese;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant;takeaway:yes
Low,Needs more information,pizza cuisine,,,,,Pizzeria Parmesan,,,2025-10-05T08:14:06Z,123,75,missing_address;description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,chinese cuisine,"Annankatu 29, 00100 Helsinki, FI",,,,Mei Lin,,,2026-01-27T21:07:51Z,9,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant
Low,Needs more information,,,,,,White Lady,,,2025-10-08T19:04:34Z,120,75,missing_address;missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Linnavuorentie 30, 00950 Helsinki",,,,Kahvio Teboil Itäväylä,,,2025-11-22T09:38:57Z,75,90,missing_description,OpenStreetMap,cafe;confidence:medium;diet:halal:no;diet:kosher:no
Low,Needs editing,american cuisine,"Aleksanterinkatu 21, 00100 Helsinki, FI",,,,Hard Rock Cafe,,,2025-11-30T21:23:05Z,67,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:american;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant
Low,Needs editing,,"Mannerheimintie 3 B, 00100 Helsinki",,,,Unicafe,,,2025-12-15T06:59:06Z,52,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:no;restaurant
Low,Needs editing,chinese cuisine,"Näyttelijäntie 14, 00400 Helsinki",,,,Chef Huang,,,2026-01-06T23:24:40Z,30,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:chinese;delivery:no;diet:halal:no;diet:kosher:no;restaurant;takeaway:yes
Medium,Keep,"pizza, kebab, stake, salad, chicken, fish, pasta, falafel, burger cuisine","Sitratori 3, 00420 Helsinki",,,,Kannelmäen Pizzapalvelu,,,2025-10-01T20:21:49Z,127,100,,OpenStreetMap,confidence:medium;cuisine:burger;cuisine:chicken;cuisine:falafel;cuisine:fish;cuisine:kebab;cuisine:pasta;cuisine:pizza;cuisine:salad;cuisine:stake;delivery:yes;fast_food;takeaway:yes
Low,Needs editing,,"Käpylänkuja 1, 00610 Helsinki",,,,Ravintola Sylvi,,,2025-08-26T04:21:33Z,163,90,missing_description,OpenStreetMap,confidence:medium;diet:halal:no;diet:kosher:no;restaurant
Low,Needs editing,,"Esterinportti 2, 00240 Helsinki, FI",,,,Factory,,,2025-12-14T21:31:53Z,53,90,missing_description,OpenStreetMap,confidence:medium;restaurant
Low,Needs editing,"pizza, kebab cuisine","Käpyläntie 8, 00600 Helsinki",,,,Käpylän Pizza & Kebab Palvelu,,,2025-08-25T19:55:48Z,164,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:kebab;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes
Low,Needs editing,pizza cuisine,"Siltavoudintie 9, 00640 Helsinki, FI",,,,Kotipizza,,,2025-08-12T14:59:09Z,177,90,description_too_short,OpenStreetMap,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:yes;takeaway:yes
Low,Needs more information,,,,,,Oulunkylän Kebab-Pizzeria,,,2025-08-12T15:08:59Z,177,75,missing_address;missing_description,OpenStreetMap,confidence:medium;restaurant
High,Remove,burger cuisine,"Kaivokatu, 00100 Helsinki",,,,Hesburger,,,2025-09-14T16:20:08Z,144,65,keyword:hesburger;description_too_short,OpenStreetMap,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes
